User_name,Category,Comments,Comments_extra,Comments_merge,Comments_Cleaned,predicted_sentiment
Ngọc Ngân,Màu : A05 - cam đỏ,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Tran Dinh Phu,Màu : A10 - đỏ berry,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Nguyễn Thị Bích Hợp,Màu : A21 - đỏ nâu ánh khói,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Nguyễn Huỳnh Ngọc Mai Trâm,Màu : A12 - nâu gạch,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Hang Vo,Màu : A09 - hồng quế,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Tài Khoản Facebook,Màu : A08 - cam bưởi đỏ,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Nguyễn Thị Bích Thùy,Màu : A08 - cam bưởi đỏ,sp tốt,Cực kì hài lòng,sp tốt,sản phẩm tốt,Positive
Trịnh Dung,Màu : A01- đỏ dâu,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Linh Nhi,Màu : A05 - cam đỏ,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Ngocthem Zem,Màu : A02 - hoa hồng khô,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Vy V,Màu : A17 - đỏ lạnh,"Hàng đẹp, chất lượng lắm ạ",Cực kì hài lòng,"Hàng đẹp, chất lượng lắm ạ",hàng đẹp chất lượng lắm ạ,Positive
Tran Bichngoc,Màu : A19 - đỏ hồng tomato,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Tuyết Như,Màu : A10 - đỏ berry,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Ngô Kim Ngân,Màu : A05 - cam đỏ,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Đoàn Phi Yến,Màu : A12 - nâu gạch,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Lê Thương,Màu : A10 - đỏ berry,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Lâm Anh,Màu : A14 - đỏ đào trầm,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Lê Nhi,Màu : A08 - cam bưởi đỏ,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Lê Nhi,Màu : A03 - đỏ tươi,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Trâm Anh Đoàn,Màu : A10 - đỏ berry,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Nguyễn Mai Chi,Màu : A06 - đỏ nâu,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Yen Tieu,Màu : A08 - cam bưởi đỏ,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Tang Ngoc Nguyen,Màu : A09 - hồng quế,"dong goi dep, son mau dep..........................",Cực kì hài lòng,"dong goi dep, son mau dep..........................",dong goi dep son mau dep,Positive
Hoàng Tuấn,Màu : A08 - cam bưởi đỏ,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Đinh Tuyền,Màu : A09 - hồng quế,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Bùi Phúc Hòa,Màu : A08 - cam bưởi đỏ,Đúng chất lượng. Xài rất đẹp,Cực kì hài lòng,Đúng chất lượng. Xài rất đẹp,đúng chất lượng xài rất đẹp,Positive
TyTy Pham,Màu : A06 - đỏ nâu,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Ngọc Võ,Màu : A01- đỏ dâu,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Trịnh Minh Hòa,Màu : A13 - nâu đỏ tươi,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Nguyễn Thanh Xuân,Màu : A12 - nâu gạch,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Anh Anh Tú,Màu : A07 - cam hồng,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Cẩm Nhi,Màu : A08 - cam bưởi đỏ,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Trần Thi Kim Anh,Màu : A15 - nâu ánh đỏ,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Lê Nguyễn Phương Anh,Màu : A12 - nâu gạch,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Vũ Thị Minh Anh,Màu : A08 - cam bưởi đỏ,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Nguyễn Giang,Màu : A07 - cam hồng,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Trinh Heery'S,Màu : A12 - nâu gạch,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Mai Cao,Màu : A12 - nâu gạch,sản phẩm tốt,Cực kì hài lòng,sản phẩm tốt,sản phẩm tốt,Positive
Kim Nhung,Màu : A10 - đỏ berry,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Bùi Phương Ngọc,Màu : A11 - hồng cháy,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Nguyễn Thị Thu,Màu : A10 - đỏ berry,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Phng Phng,Màu : A12 - nâu gạch,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Nguyễn Thị Quốc Vy,Màu : A09 - hồng quế,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Trang Le,Màu : A08 - cam bưởi đỏ,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Nguyễn Thanh Xuân,Màu : A06 - đỏ nâu,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Vân Vân,Màu : A05 - cam đỏ,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Ngô Vy,Màu : A11 - hồng cháy,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Bùi Phi Yến,Màu : A02 - hoa hồng khô,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Hoang Phi,Màu : A07 - cam hồng,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Nguyen Tuan Hieu,Màu : A21 - đỏ nâu ánh khói,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Nguyen Tuan Hieu,Màu : A21 - đỏ nâu ánh khói,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Nguyễn Văn Tiển,Màu : A05 - cam đỏ,Đẹp. Tốt,Cực kì hài lòng,Đẹp. Tốt,đẹp tốt,Positive
Thy Hnh,Màu : A11 - hồng cháy,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Trần Khánh Huy,Màu : A12 - nâu gạch,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Hương Hương,Màu : A20 - đỏ tím cherry,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Đinh Thị Hậu,Màu : A03 - đỏ tươi,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Dư Trâm Anh,Màu : A05 - cam đỏ,son lên màu đẹp,Cực kì hài lòng,son lên màu đẹp,son lên màu đẹp,Positive
Nguyen Thi Thu Huong,Màu : A05 - cam đỏ,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Nguyen Tuan Hieu,Màu : A21 - đỏ nâu ánh khói,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Trần Tình,Màu : A12 - nâu gạch,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Phạm Thanh Dũng,Màu : A12 - nâu gạch,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Alexandra Lyx,Màu : A12 - nâu gạch,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Nguyn Ngc Minh Nhi,Màu : A08 - cam bưởi đỏ,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Nguyn Ngc Minh Nhi,Màu : A08 - cam bưởi đỏ,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Trần Nguyễn Diễm Trinh,Màu : A12 - nâu gạch,"màu son đẹp, thơm",Cực kì hài lòng,"màu son đẹp, thơm",màu son đẹp thơm,Positive
Nguyễn Thu Phương,Màu : A19 - đỏ hồng tomato,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Trần Thị Diễm Hương,Màu : A10 - đỏ berry,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Nguyễn Thị Thân,Màu : A03 - đỏ tươi,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Nguyễn Ngọc,Màu : A17 - đỏ lạnh,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Nguyễn Thu Phương,Màu : A19 - đỏ hồng tomato,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Ngan Nguyenkim,Màu : A03 - đỏ tươi,đẹp nhưng ko lì,Cực kì hài lòng,đẹp nhưng ko lì,đẹp nhưng không lì,Negative
Thái Kim Vân,Màu : A08 - cam bưởi đỏ,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Hồ Long Nhật,Màu : A03 - đỏ tươi,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Khoa Nam,Màu : A05 - cam đỏ,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Nguyễn Lê Quang,Màu : A20 - đỏ tím cherry,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Nguyen Phuong,Màu : A07 - cam hồng,Có mùi dâu. Thơm và tự thiên,Cực kì hài lòng,Có mùi dâu. Thơm và tự thiên,có mùi dâu thơm và tự thiên,Positive
Linh Khánh,Màu : A12 - nâu gạch,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Tâm Tâm,Màu : A05 - cam đỏ,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Nguyễn Nga,Màu : A12 - nâu gạch,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Bảo Châu Nguyễn,Màu : A04 - đỏ thẫm,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Triệu Thế Trung,Màu : A08 - cam bưởi đỏ,"dùng rất thích, hương cũng rất thơm",Cực kì hài lòng,"dùng rất thích, hương cũng rất thơm",dùng rất thích hương cũng rất thơm,Positive
Thanh Hằng,Màu : A20 - đỏ tím cherry,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Minh Tiền,Màu : A02 - hoa hồng khô,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
HẢI ĐĂNG,Màu : A15 - nâu ánh đỏ,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Nguyễn Thị Bích Nữ,Màu : A03 - đỏ tươi,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Cún A Mùi,Màu : A10 - đỏ berry,"Thơm, màu đỉnh",Cực kì hài lòng,"Thơm, màu đỉnh",thơm màu đỉnh,Positive
Nguyễn Thị Mai Tâm,Màu : A03 - đỏ tươi,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Phi Hung,Màu : A10 - đỏ berry,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Nguyen Yen Nhi,Màu : A08 - cam bưởi đỏ,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
